,id,name,current_price,tag,tag_updated_at
138,7321, Frijol negro (500 g / 1.1 lb) ,2.88,frijoles,2024-12-21 20:08:33
139,18951,Frijoles Negros (460 g / 1 lb ),2.87,frijoles,2024-12-21 20:08:33
140,74325,Frijoles colorados Torino (500 g / 1.10 lb),2.86,frijoles,2024-12-21 20:08:33
141,7354, Frijoles negros Gourmet (500 g / 1.1 lb) ,2.8,frijoles,2024-12-21 20:08:33
142,7255, Frijol negro (454 g / 1 lb) ,2.74,frijoles,2024-12-21 20:08:33
143,23986, Frijol bayo (454 g / 1 lb) ,2.74,frijoles,2024-12-21 20:08:33
144,7340,Frijol negro Penelas (500 g / 1.10 lb),2.7,frijoles,2024-12-21 20:08:33
145,7270, Frijoles colorados Marcos (500 g / 1.1 lb) ,2.69,frijoles,2024-12-21 20:08:33
146,7379,Frijoles colorados extra Miau (500 g / 1.1 lb),2.69,frijoles,2024-12-21 20:08:33
147,7272,Frijoles blanco Pu̱ado (500 g / 1.10 lb),2.66,frijoles,2024-12-21 20:08:33
148,7365, Frijoles negros Goya (397 g / 14 oz) ,2.59,frijoles,2024-12-21 20:08:33
149,18162,Frijoles blancos Huerto San Genaro (500 g / 1.1 lb),2.58,frijoles,2024-12-21 20:08:33
150,7318, Frijoles colorados (454 g / 1 lb) ,2.57,frijoles,2024-12-21 20:08:33
151,7352, Frijoles negros Penelas (500 g / 1.10 lb) ,2.55,frijoles,2024-12-21 20:08:33
152,7324, Frijol colorado (500 g / 1.10 lb) ,2.53,frijoles,2024-12-21 20:08:33
153,18163, Frijol colorado (454 g / 1 lb) ,2.53,frijoles,2024-12-21 20:08:33
154,7378, Frijoles blancos extra Miau (500 g / 1.1 lb) ,2.51,frijoles,2024-12-21 20:08:33
155,7347, Frijoles bayos (454 g / 1 lb) ,2.5,frijoles,2024-12-21 20:08:33
156,15978,Frijoles colorados Marcos (500 g / 1.10 lb),2.49,frijoles,2024-12-21 20:08:33
157,21310, Alubias - frijoles - rojas calidad extra Miau (500 g / 1.1 lb) ,2.49,frijoles,2024-12-21 20:08:33
158,21312, Alubias - frijoles - blancas calidad extra Miau (500 g / 1.1 lb) ,2.49,frijoles,2024-12-21 20:08:33
159,15683, Frijoles negros Marcos (500 g / 1.1 lb) ,2.48,frijoles,2024-12-21 20:08:33
